season,week,away,home,day_of_game,home_spread,score_away,score_home,spread_winner
2025,Week_01,DAL,PHI,NA,-7.5,20,24,DAL
2025,Week_01,KC,LAC,NA,2.5,21,27,LAC
2025,Week_01,CIN,CLE,NA,5.5,17,16,CLE
2025,Week_01,NYG,WAS,NA,-5.5,6,21,WAS
2025,Week_01,PIT,NYJ,NA,2.5,34,32,NYJ
2025,Week_01,TB,ATL,NA,2.5,23,20,TB
2025,Week_01,ARI,NO,NA,6.5,20,13,ARI
2025,Week_01,CAR,JAX,NA,-3.5,10,33,JAX
2025,Week_01,MIA,IND,NA,-1.5,8,33,IND
2025,Week_01,LV,NE,NA,-2.5,20,14,LV
2025,Week_01,TEN,DEN,NA,-8.5,12,20,TEN
2025,Week_01,SF,SEA,NA,2.5,17,13,SF
2025,Week_01,DET,GB,NA,-2.5,13,27,GB
2025,Week_01,HOU,LAR,NA,-2.5,9,14,LAR
2025,Week_01,BAL,BUF,NA,-1.5,40,41,BAL
2025,Week_01,MIN,CHI,NA,1.5,27,24,MIN
2025,Week_02,WAS,GB,NA,-3.5,18,27,GB
2025,Week_02,CLE,BAL,NA,-12.5,17,41,BAL
2025,Week_02,JAX,CIN,NA,-3.5,27,31,CIN
2025,Week_02,NYG,DAL,NA,-5.5,37,40,NYG
2025,Week_02,CHI,DET,NA,-4.5,21,52,DET
2025,Week_02,NE,MIA,NA,-1.5,33,27,NE
2025,Week_02,SF,NO,NA,4.5,26,21,SF
2025,Week_02,BUF,NYJ,NA,7.5,30,10,BUF
2025,Week_02,SEA,PIT,NA,-3.5,31,17,SEA
2025,Week_02,LAR,TEN,NA,5.5,33,19,LAR
2025,Week_02,CAR,ARI,NA,-6.5,22,27,CAR
2025,Week_02,DEN,IND,NA,2.5,28,29,IND
2025,Week_02,PHI,KC,NA,1.5,20,17,PHI
2025,Week_02,ATL,MIN,NA,-5.5,22,6,ATL
2025,Week_02,TB,HOU,NA,-2.5,20,19,TB
2025,Week_02,LAC,LV,NA,3.5,20,9,LAC
2025,Week_03,MIA,BUF,NA,-12.5,21,31,MIA
2025,Week_03,ATL,CAR,NA,5.5,0,30,CAR
2025,Week_03,GB,CLE,NA,8.5,10,13,CLE
2025,Week_03,HOU,JAX,NA,-1.5,10,17,JAX
2025,Week_03,CIN,MIN,NA,-3.5,10,48,MIN
2025,Week_03,PIT,NE,NA,1.5,21,14,PIT
